timestamp,Volume,VWAP,Open,Close,High,Low,Trades,MA_Short,MA_Long
2023-12-29,18730838.0,375.8532,376.0,376.04,377.16,373.48,296401,,
2024-01-02,25258633.0,370.0458,373.86,370.87,375.9,366.771,458059,,
2024-01-03,23083465.0,371.1644,369.01,370.6,373.2562,368.51,373401,,
2024-01-04,20901502.0,369.8079,370.665,367.94,373.1,367.17,336221,,
2024-01-05,21004575.0,368.9509,368.97,367.75,372.06,366.5,327543,370.64,
2024-01-08,23133967.0,372.9104,369.3,374.69,375.2,369.01,370001,370.37,
2024-01-09,20829953.0,374.47,372.01,375.79,375.99,371.19,348113,371.354,
2024-01-10,25514245.0,381.631,376.37,382.77,384.17,376.32,425876,373.788,
2024-01-11,27850846.0,384.6284,386.0,384.63,390.68,380.38,462956,377.12600000000003,
2024-01-12,21661153.0,387.4052,385.49,388.47,388.68,384.65,349004,381.27,
2024-01-16,27202268.0,390.7,393.66,390.27,394.03,387.6229,461338,384.38599999999997,
2024-01-17,22234108.0,388.3721,387.98,389.47,390.11,384.81,363165,387.122,
2024-01-18,23392068.0,392.7206,391.72,393.87,393.99,390.12,369692,389.342,
2024-01-19,29331136.0,396.7214,395.76,398.67,398.67,393.5,425457,392.15,
2024-01-22,27016902.0,396.8531,400.02,396.51,400.62,393.59,450387,393.75800000000004,
2024-01-23,20525882.0,397.3286,395.75,398.9,399.38,393.93,318881,395.484,
2024-01-24,24866953.0,403.1022,401.54,402.56,405.63,400.45,412574,398.102,
2024-01-25,21021155.0,404.8275,404.32,404.87,407.01,402.5294,386009,400.302,
2024-01-26,17803271.0,404.0245,404.37,403.93,406.17,402.43,337194,401.354,
2024-01-29,24510236.0,408.1084,406.06,409.72,409.98,404.33,446368,403.996,387.416
2024-01-30,33477610.0,408.7078,412.26,408.59,413.05,406.4501,606542,405.934,389.0435
2024-01-31,47871097.0,403.043,406.96,397.58,415.32,397.21,736136,404.938,390.379
2024-02-01,30657726.0,404.4632,401.83,403.78,408.0,401.8,476058,404.71999999999997,392.038
2024-02-02,28256670.0,409.8935,403.81,411.22,412.65,403.56,474634,406.178,394.202
2024-02-05,25352286.0,406.2356,409.9,405.65,411.16,403.99,455599,405.364,396.09700000000004
2024-02-06,18382624.0,404.8658,405.88,405.49,407.97,402.91,342464,404.744,397.637
2024-02-07,22340526.0,411.9182,407.44,414.05,414.3,407.4,352956,408.038,399.55
2024-02-08,21225257.0,413.833,414.05,414.11,415.56,412.53,323852,410.104,401.117
2024-02-09,22032844.0,418.7592,415.25,420.55,420.82,415.09,369747,411.96999999999997,402.913
2024-02-12,21202921.0,416.8165,420.555,415.26,420.74,414.75,401543,413.892,404.2525
2024-02-13,27824936.0,406.7192,404.94,406.32,410.071,403.39,544613,414.058,405.055
2024-02-14,20401190.0,407.428,408.07,409.49,409.84,404.57,384410,413.146,406.056
2024-02-15,21825525.0,406.0888,408.14,406.56,409.13,404.29,412617,411.63599999999997,406.69050000000004
2024-02-16,22296495.0,405.1959,407.96,404.06,408.29,403.44,371675,408.338,406.96
2024-02-20,24307915.0,401.4432,403.24,402.79,404.49,398.01,450376,405.844,407.274
2024-02-21,18631072.0,400.284,400.17,402.18,402.29,397.22,372892,405.01599999999996,407.438
2024-02-22,27009869.0,410.802,410.19,411.65,412.83,408.57,438853,405.448,407.89250000000004
2024-02-23,16295879.0,411.3821,415.67,410.34,415.86,408.97,339008,406.204,408.166
2024-02-26,16193505.0,408.6943,411.455,407.54,412.16,407.36,360536,406.9,408.3465
2024-02-27,14835827.0,406.5203,407.99,407.48,408.32,403.85,329867,407.838,408.2345
2024-02-28,13183125.0,407.2073,408.175,407.72,409.3,405.3201,288489,408.946,408.19100000000003
2024-02-29,31947263.0,411.6895,408.64,413.64,414.2,405.92,381314,409.344,408.994
2024-03-01,17823445.0,414.0696,411.27,415.5,415.87,410.88,394309,410.37600000000003,409.58
2024-03-04,17595956.0,415.1331,413.44,414.92,417.35,412.32,397492,411.85200000000003,409.76500000000004
2024-03-05,26919177.0,403.9295,413.96,402.65,414.25,400.64,538264,410.8860000000001,409.61499999999995
2024-03-06,22344149.0,402.2281,402.97,402.09,405.16,398.39,449330,409.75999999999993,409.445
2024-03-07,18718479.0,407.6379,406.12,409.14,409.78,402.24,356886,408.86,409.1995
2024-03-08,18002186.0,407.1068,407.96,406.22,410.42,404.33,372186,407.004,408.805
2024-03-11,16120752.0,403.871,403.762,404.52,405.68,401.26,361478,404.924,408.0035
2024-03-12,22457003.0,413.4651,407.62,415.28,415.57,406.79,390705,407.45,408.0045
2024-03-13,17115931.0,414.9263,418.1,415.1,418.18,411.45,335667,410.05199999999996,408.4435
2024-03-14,34157299.0,424.5338,420.24,425.22,427.82,417.99,595704,413.26800000000003,409.23
2024-03-15,45079903.0,416.9739,419.29,416.42,422.6,412.79,502616,415.308,409.72299999999996
2024-03-18,20105977.0,417.9454,414.25,417.32,420.73,413.78,378727,417.86800000000005,410.3860000000001
2024-03-19,19837915.0,420.2888,417.83,421.41,421.6656,415.55,333782,419.09400000000005,411.317
2024-03-20,17860085.0,423.7707,422.0,425.23,425.96,420.66,341853,421.12000000000006,412.4695
2024-03-21,21296222.0,429.2346,429.83,429.37,430.82,427.16,382103,421.95,413.3555
2024-03-22,17648473.0,428.396,429.7,428.74,429.86,426.07,314771,424.41400000000004,414.2755
2024-03-25,18060450.0,423.6345,425.24,422.86,427.41,421.61,392629,425.52200000000005,415.0415
2024-03-26,16725647.0,422.7992,425.61,421.65,425.99,421.35,318246,425.57,415.75
2024-03-27,16704978.0,420.9515,424.44,421.43,424.45,419.01,333518,424.81000000000006,416.43549999999993
2024-03-28,21871161.0,420.7417,420.96,420.72,421.87,419.12,307365,423.08000000000004,416.78950000000003
2024-04-01,16315961.0,424.3187,423.95,424.57,427.89,422.22,365011,422.246,417.24300000000005
2024-04-02,17911992.0,420.9424,420.11,421.44,422.38,417.84,364604,421.962,417.5690000000001
2024-04-03,16502264.0,421.2183,419.73,420.45,423.26,419.085,337782,421.72200000000004,418.459
2024-04-04,19370875.0,421.9102,424.99,417.88,428.67,417.57,371919,421.012,419.24850000000004
2024-04-05,16554761.0,424.2194,420.01,425.52,426.51,418.32,353311,421.9719999999999,420.0675
2024-04-08,14272387.0,424.9753,425.17,424.59,427.28,423.3,316897,421.976,420.986
2024-04-09,12512289.0,424.8551,426.44,426.28,427.74,421.62,298321,422.94399999999996,422.07399999999996
2024-04-10,16216581.0,421.8454,422.19,423.26,424.03,419.7,377856,423.506,422.47299999999996
2024-04-11,17966423.0,426.7616,425.82,427.93,429.37,422.36,345478,425.51599999999996,423.1145
2024-04-12,19253750.0,422.2518,424.05,421.9,425.1794,419.77,372088,424.79200000000003,422.94849999999997
2024-04-15,20273538.0,417.9412,426.6,413.64,426.82,413.43,419801,422.602,422.8095
2024-04-16,16765616.0,415.5907,414.57,414.58,418.4,413.7301,344530,420.262,422.6725
2024-04-17,15855485.0,413.5457,417.25,411.84,418.88,410.33,353077,417.97799999999995,422.1940000000001
2024-04-18,21029917.0,406.9816,410.63,404.27,411.89,403.95,422714,413.246,421.146
2024-04-19,30565789.0,400.612,404.03,399.12,405.48,397.77,470293,408.69,419.6335
2024-04-22,20286875.0,400.2445,400.08,400.96,402.85,395.75,395628,406.154,418.24449999999996
2024-04-23,15734501.0,406.8605,404.235,407.57,408.2,403.06,332315,404.752,417.4799999999999
2024-04-24,15065330.0,408.7855,409.56,409.06,412.47,406.78,340119,404.196,416.8505
2024-04-25,40586450.0,397.6595,394.03,399.04,399.8899,388.03,782685,403.15,415.73099999999994
2024-04-26,29694654.0,408.9117,412.17,406.32,413.0,405.7601,532057,404.59,415.01099999999997
2024-04-29,19582091.0,401.615,405.25,402.25,406.32,399.19,424047,404.84799999999996,413.895
2024-04-30,28781374.0,393.8985,401.49,389.33,402.16,389.17,511476,401.2,412.2895
2024-05-01,23562481.0,395.2703,392.61,394.94,401.7199,390.31,459339,398.37600000000003,411.014
2024-05-02,17709364.0,397.31,397.66,397.84,399.93,394.6515,336629,398.136,410.012
2024-05-03,17446724.0,405.7904,402.28,406.66,407.15,401.86,356126,398.204,409.06899999999996
2024-05-06,16996639.0,411.0587,408.76,413.54,413.93,406.3701,351011,400.46200000000005,408.51649999999995
2024-05-07,20018228.0,410.7931,414.66,409.34,414.67,409.09,334643,404.464,407.66949999999997
2024-05-08,11792308.0,410.4116,408.17,410.54,412.23,406.7132,272545,407.584,407.03349999999995
2024-05-09,14689727.0,411.668,410.57,412.32,412.72,409.1,259285,410.48,406.25300000000004
2024-05-10,13402281.0,414.2665,412.935,414.74,415.38,411.8,319661,412.096,405.895
2024-05-13,15440226.0,413.8789,418.01,413.72,418.348,410.82,342746,412.13199999999995,405.899
2024-05-14,15109306.0,414.905,412.02,416.56,417.49,411.55,340286,413.576,405.998
2024-05-15,22239533.0,421.8711,417.9,423.08,423.81,417.27,414733,416.084,406.56
2024-05-16,17530050.0,422.1947,421.8,420.99,425.42,420.35,363229,417.81800000000004,407.396
2024-05-17,15352239.0,420.0833,422.54,420.21,422.92,418.025,291491,418.912,408.4505
2024-05-20,16272137.0,424.8492,420.21,425.34,426.77,419.99,325281,421.236,409.66949999999997
2024-05-21,21453255.0,429.2544,426.825,429.04,432.97,424.85,391818,423.73199999999997,410.74300000000005
2024-05-22,18073698.0,430.0097,430.09,430.52,432.41,427.13,326622,425.21999999999997,411.816
2024-05-23,17211689.0,429.2132,432.97,427.0,433.6,425.424,363758,426.422,413.21399999999994
2024-05-24,11855285.0,428.8383,427.19,430.16,431.055,424.41,301686,428.412,414.40599999999995
2024-05-28,15718024.0,429.0925,429.63,430.32,430.82,426.6,380657,429.408,415.8095
2024-05-29,15517130.0,429.2916,425.69,429.17,430.94,425.69,332791,429.434,417.80150000000003
2024-05-30,28424847.0,418.0696,424.3,414.67,424.3,414.24,553475,426.264,418.788
2024-05-31,47995250.0,411.8715,416.75,415.13,416.75,404.51,602158,423.89000000000004,419.65250000000003
